id,context,english
result.abandoned,Contract outcome phrase: the player walked away mid-run.,[abandoned]
result.target_escaped,Contract outcome phrase: the target survived and left.,[the target escaped]
result.arrested,Contract outcome phrase: the player was arrested.,[ended in arrest]
result.killed,Contract outcome phrase: the player died.,[ended in death]

# --- campaign errors -------------------------------------------------------
campaign.err.over,Refusal when acting on a finished campaign.,[the campaign is over]
campaign.err.loadout_full,Refusal when more than three items are chosen.,[a loadout carries at most three items]
campaign.err.not_owned,"Refusal when taking an unowned item. {item} is the item id.",[you do not own '{item}']
campaign.err.already_owned,Shop refusal: the item is already in the stash.,[already owned]
campaign.err.no_cash,Shop refusal: not enough money.,[not enough cash]

# --- mission sidebar -------------------------------------------------------
ui.mission.panel.map.ground,Title of the map panel on the ground storey.,[ground floor]
ui.mission.panel.map.upper,Title of the map panel on the upper storey.,[upper floor]
ui.mission.panel.map.numbered,"Map panel title above two storeys. {n} is the storey number.",[floor {n}]
ui.mission.panel.events,Title of the event log panel.,[events]
ui.mission.panel.agent,Title of the right-hand status sidebar.,[agent]
ui.mission.status,"Sidebar top line. {turn} is the turn number, {seed} the mission seed.",[turn {turn}   seed {seed}]
ui.mission.health,Label before the health hearts.,[health ]
ui.mission.crouched,Appended to the health line while crouching.,[   crouched]
ui.mission.wearing,Label before the currently worn disguise name.,[wearing ]
ui.mission.hands.free,Sidebar line when the player is carrying nothing.,[hands free]
ui.mission.hands.body,"Sidebar line while carrying a corpse. {name} is the dead person.",[carrying {name}]
ui.mission.hands.drawn,"Sidebar line with a weapon out. {weapon} name, {ammo} rounds left.",[{weapon} drawn ({ammo} rounds)]
ui.mission.hands.unknown_weapon,Fallback name when a drawn weapon has no item spec.,[weapon]
ui.mission.area.legitimate,Sidebar verdict: the disguise permits this area.,[area: legitimate]
ui.mission.area.invited,Sidebar verdict: access granted by a carried invitation.,[area: invited]
ui.mission.area.staff_access,Sidebar verdict: access granted by an authored room exception.,[area: staff access]
ui.mission.area.pass,Sidebar verdict: access granted by a forged staff pass.,[area: pass shown]
ui.mission.area.trespassing,Sidebar verdict: the player is somewhere they may not be.,[area: TRESPASSING]
ui.mission.venue.quiet,Sidebar posture at heat tier 0.,[venue: quiet]
ui.mission.venue.wary,Sidebar posture at heat tier 1.,[venue: security wary]
ui.mission.venue.backup,Sidebar posture at heat tier 2 and above.,[venue: backup on site]
ui.mission.contract.breached,Sidebar line once the contract condition has been broken.,[contract: BREACHED]
ui.mission.contract.intact,"Sidebar line while the condition holds. {condition} is the short form.",[contract: {condition}]
ui.mission.inventory.title,Underlined heading above the six inventory slots.,[inventory]
ui.mission.inventory.slot,"A filled inventory slot. {n} is 1-6, {name} the item.",[ {n}. {name}]
ui.mission.inventory.slot_charges,"A filled slot with charges. {n} slot, {name} item, {charges} left.",[ {n}. {name} ({charges})]
ui.mission.inventory.empty,An empty inventory slot. {n} is the slot number.,[ {n}. -]
ui.mission.insight.title,Underlined heading above the list of visible people.,[in sight]
ui.mission.insight.nobody,Shown when nobody is visible.,[ nobody]
ui.mission.insight.actor,"One visible person. {name}, {range} distance, {mood} state.",[ {name}{range} - {mood}]
ui.mission.insight.more,"{count} further visible people the panel has no room for.",[ and {count} more]
ui.mission.hunting,"Alarm count over the whole venue. {count} people are hunting you.",[!! {count} hunting you]
ui.mission.target_dead,Sidebar line once the target has been eliminated.,[target eliminated]
ui.mission.reach_exit,Sidebar line telling the player to extract.,[reach an X exit]
ui.mission.actions.title,Underlined heading above the clickable action palette.,[actions (click or key)]
ui.mission.footer.move,Sidebar footer: movement and hover.,[arrows move - hover inspects]
ui.mission.footer.speed,Sidebar footer. {speed} is the current pacing label.,[Esc cancel - [ ] speed: {speed}]
ui.mission.slot_line,"Inspection line for a read slot. {n} slot, {name} item, {detail} notes.",[slot {n}: {name} - {detail}]
ui.mission.slot_line.empty,Inspection line for an empty slot. {n} is the slot number.,[slot {n}: empty]
ui.mission.slot_line.unknown,"Inspection line when the item has no spec. {n} slot, {id} raw id.",[slot {n}: {id}]
ui.mission.here,"Inspection line for the hovered tile. {what} is the tile description.",[here: {what}]
ui.mission.log.repeat,"A log line that occurred several turns running. {text} the line, {count} how many.",[{text} (x{count})]

# --- item notes (what carrying a thing lets you do) ------------------------
ui.mission.item.enables,"An item's verb. {action} is a palette label, {key} its key.",[enables {action} ({key})]
ui.mission.item.invitation,Note on an invitation item.,[you are an invited guest]
ui.mission.item.staff_pass,Note on a forged staff pass.,[counts as staff wherever you are]
ui.mission.item.master_key,Note on a key that opens everything.,[opens every lock here]
ui.mission.item.one_lock,Note on a key that opens a single room's doors.,[opens one kind of locked door]
ui.mission.item.charges,{count} uses remain.,[{count} left]
ui.mission.item.no_use,Note on an item with no verb of its own.,[no use of its own]

# --- tile inspection -------------------------------------------------------
ui.mission.tile.unseen,Inspection of a tile the player has never seen.,[unseen]
ui.mission.tile.nothing,Inspection of a tile with nothing worth naming.,[nothing of note]
ui.mission.tile.room,"A room and its access tier. {room} name, {zone} venue label.",[{room} ({zone})]
ui.mission.tile.corridor,Inspection of floor outside any room.,[corridor]
ui.mission.tile.wall,Inspection of a wall tile.,[wall]
ui.mission.tile.stairs,Inspection of a staircase tile.,[stairs]
ui.mission.tile.door.open,Inspection of an open door.,[open door]
ui.mission.tile.door.closed,Inspection of a closed door.,[closed door]
ui.mission.tile.door.locked,"A locked door. {state} is the open/closed description.",[{state} (locked)]
ui.mission.tile.exit,Inspection of an extraction tile.,[extraction exit]
ui.mission.tile.you,Inspection of the player's own tile.,[you]
ui.mission.tile.target,"The mission target. {name} person, {role} job, {mood} state.","[{name} - THE TARGET ({role}, {mood})]"
ui.mission.tile.actor,"Any other person. {name}, {role} job, {mood} state.","[{name} ({role}, {mood})]"
ui.mission.tile.body,{name} is the dead person.,[the body of {name}]
ui.mission.tile.low_cover,Inspection of a desk or table that blocks sight to crouchers.,[low cover]
ui.mission.tile.container,Inspection of an empty body-sized container.,[container]
ui.mission.tile.container_full,Inspection of a container with a body already in it.,[container (occupied)]
ui.mission.tile.wardrobe,"A wardrobe holding clothes. {disguise} is the disguise name.",[wardrobe ({disguise})]
ui.mission.tile.wardrobe_empty,Inspection of a wardrobe with nothing in it.,[wardrobe (empty)]
ui.mission.tile.machine,"An unused opportunity. {name}, {presentation} look, {risk} warning.",[{name} - {presentation} ({risk})]
ui.mission.tile.machine_spent,"An opportunity already used. {name} is the machine name.",[{name} (spent)]
ui.mission.tile.machinery,Fallback for a machine with no opportunity spec.,[machinery]

# --- targeting prompts -----------------------------------------------------
mission.prompt.garrote,Prompt asking which way to garrote.,[garrote - which direction?]
mission.prompt.pickpocket,Prompt asking which way to pickpocket.,[pickpocket - which direction?]
mission.prompt.disguise,Prompt asking where to take clothes from.,[take disguise - which direction?]
mission.prompt.carry_body,Prompt asking which body to pick up.,[carry body - which direction? (b again: here)]
mission.prompt.hide_body,Prompt asking which container to use.,[hide body - which direction?]
mission.prompt.drop_body,Prompt asking where to put a carried body.,[drop body - which direction? (b again: here)]
mission.prompt.open_door,Prompt asking which door to open.,[open - which direction?]
mission.prompt.close_door,Prompt asking which door to close.,[close - which direction?]
mission.prompt.pick_lock,Prompt asking which lock to pick.,[pick lock - which direction?]
mission.prompt.use_machine,Prompt asking which machine to use.,[use - which direction?]
mission.prompt.throw,Prompt while aiming a noisemaker throw.,"[aim the throw - Enter or click throws, Esc cancels]"
mission.prompt.shoot,"Prompt while cycling shot targets. {name}, {n} of {total}.","[aim: {name} ({n}/{total}) - Enter or click fires, Esc cancels]"
mission.confirm.abandon,Yes/no question guarding an abandoned run.,[abandon the run and walk away? y / n]

# --- mission notices (shell-side, not simulation events) -------------------
mission.notice.entered,First log line of every mission.,[you slip in through the entrance]
mission.notice.nothing_there,Refusal when a targeted action finds no valid target on that tile.,[nothing suitable there]
mission.notice.no_path,Refusal when a click-to-move destination cannot be reached.,[no way through to there]
mission.notice.queue_full,Refusal when the command queue is at capacity.,[you can't plan any further ahead]
mission.notice.stopped,Confirmation that queued commands were cancelled.,[you stop what you were doing]
mission.notice.speed,"Confirmation of a pacing change. {speed} is the new label.",[speed: {speed}]
mission.notice.blocked,"A targeted action with no target. {reason} says why.",[can't: {reason}]
mission.notice.rejected,"A command refused before the turn ran. {reason} says why.",[rejected: {reason}]

# --- why an action is unavailable right now --------------------------------
mission.block.no_firearm_owned,Draw/holster is unavailable: no firearm carried.,[you have no firearm]
mission.block.no_garrote,Garrote is unavailable: none carried.,[you carry no garrote]
mission.block.no_garrote_target,Garrote is unavailable: nobody adjacent.,[no one to garrote]
mission.block.no_firearm,Shoot is unavailable: no firearm carried.,[you carry no firearm]
mission.block.no_target,Shoot is unavailable: nobody visible.,[no target in sight]
mission.block.pockets_full,Pickpocket is unavailable: the inventory is full.,[your pockets are full]
mission.block.no_mark,Pickpocket is unavailable: nobody and no body adjacent.,[no one to pickpocket]
mission.block.hands_busy,An action needs free hands and the player's are not.,[your hands are not free]
mission.block.no_clothes,Disguise is unavailable: no body or stocked wardrobe adjacent.,[no clothes to take here]
mission.block.no_body,Carry is unavailable: no corpse adjacent.,[no body to carry]
mission.block.not_carrying,Hide body is unavailable: nothing is being carried.,[you aren't carrying a body]
mission.block.no_container,Hide body is unavailable: no empty container adjacent.,[no container to hide it in]
mission.block.no_door_to_open,Open is unavailable: no closed door adjacent.,[no door to open]
mission.block.no_door_to_close,Close is unavailable: no open door adjacent.,[no door to close]
mission.block.no_lockpicks,Pick lock is unavailable: none carried.,[you carry no lockpicks]
mission.block.no_lock,Pick lock is unavailable: no locked door adjacent.,[no lock to pick]
mission.block.no_charges,Noisemaker is unavailable: no charges left.,[no noisemaker charges]
mission.block.nothing_to_use,Use is unavailable: no unused machine adjacent.,[nothing to use here]

# --- pre-turn command rejections ------------------------------------------
reject.occupied,A command was refused: someone stands on the target tile.,[someone is standing there]
reject.door_locked,A command was refused: the door is locked.,[the door is locked]
reject.door_open,A command was refused: the door is already open.,[the door is already open]
reject.door_closed,A command was refused: the door is already closed.,[the door is already closed]
reject.door_far,A command was refused: no door within reach.,[no such door within reach]
reject.door_blocked,A command was refused: something is in the doorway.,[the doorway is blocked]
reject.not_adjacent,A command was refused: the target is out of reach.,[not close enough]
reject.target_gone,A command was refused: the target has moved or died.,[they are no longer there]
reject.not_behind,A command was refused: the garrote needs the player behind the mark.,[you must be directly behind them]
reject.hands_busy,A command was refused: the player's hands are full.,[your hands are not free]
reject.not_carrying_body,A command was refused: no body is being carried.,[you are not carrying a body]
reject.not_container,A command was refused: that furniture cannot hold a body.,[that cannot hold a body]
reject.container_full,A command was refused: the container already holds a body.,[it is already occupied]
reject.no_disguise,A command was refused: nothing wearable there.,[no usable clothing there]
reject.target_conscious,A command was refused: you cannot undress the living.,[they are in no state to undress]
reject.inventory_full,A command was refused: the inventory is full.,[your pockets are full]
reject.nothing_to_steal,A command was refused: the mark carries nothing takeable.,[nothing worth taking]
reject.no_weapon,A command was refused: no weapon carried.,[you carry no weapon]
reject.no_ammo,A command was refused: the firearm is empty.,[the pistol is empty]
reject.weapon_holstered,A command was refused: the firearm must be drawn first.,[your weapon is holstered]
reject.not_visible,A command was refused: no line of sight to the target.,[no line of sight]
reject.out_of_range,A command was refused: the target is too far to shoot.,[out of range]
reject.no_garrote,A command was refused: no garrote carried.,[you carry no garrote]
reject.no_lockpicks,A command was refused: no lockpicks carried.,[you carry no lockpicks]
reject.door_not_locked,A command was refused: that door is not locked.,[that door is not locked]
reject.no_noisemaker,A command was refused: no noisemaker charges left.,[no noisemaker charges left]
reject.nothing_to_use,A command was refused: no machine there.,[nothing to use there]
reject.machine_spent,A command was refused: the machine has been used.,[it has already been used]
reject.mission_over,A command was refused: the mission has already ended.,[the mission is over]
reject.blocked_wall,Movement refused by a wall.,[the way is blocked by a wall]
reject.blocked_terrain,Movement refused by impassable terrain.,[the way is blocked by terrain]
reject.blocked_furniture,Movement refused by furniture.,[the way is blocked by furniture]
reject.blocked_body,Movement refused by a corpse on the tile.,[the way is blocked by a body]
reject.no_throw_target,A throw was refused: nowhere for the noisemaker to land.,[nowhere to land a throw]

# --- simulation event log --------------------------------------------------
log.draw,The player drew a firearm.,[you draw the pistol]
log.holster,The player put a firearm away.,[you holster the pistol]
log.noisemaker,A thrown noisemaker went off.,[a sharp crack echoes off the walls]
log.lock_picked,A locked door was picked open.,[the lock gives way under your picks]
log.shot,"A firearm killed someone. {name} is the person shot.",[the pistol coughs; {name} drops]
log.arrest,Guards caught the player. Ends the mission.,[a hand clamps your shoulder: you are under arrest]
log.pickpocket,"An item was lifted from someone. {item} is the item name.",[you palm the {item}]
log.disguise_taken,"The player changed clothes. {disguise} is the new disguise.",[you change into the {disguise}]
log.body_lifted,The player picked up a corpse.,[you heave the body up]
log.body_dropped,The player put a corpse down.,[you set the body down]
log.body_hidden,A corpse was stowed in a container.,[the body disappears from sight]
log.player_killed,The player died. Ends the campaign.,[everything goes dark]
log.target_escaped,The target left the venue alive. Ends the mission.,[the target slips away into the night; the job is blown]
log.extracted,The player reached an extraction exit and left.,[you slip out into the night; the job is done]
log.lights_cut,The fuse box was used and the storey went dark.,[the fuses blow; darkness rolls across the floor]
log.hoist_hit,"The rigged hoist killed someone. {name} is the person crushed.",[the hoist gives way; a crate crushes {name}]
log.hoist_miss,The rigged hoist was used with nobody beneath it.,[the hoist lets go; the crate shatters on empty floor]
log.fire_alarm,The fire alarm was pulled and the venue began evacuating.,[the fire alarm shrieks; the whole club surges for the exits]
log.key_taken,"An item was lifted from a machine. {item} is the item name.",[you lift the {item}]
log.failed,"An action failed during its turn. {reason} says why.",[failed: {reason}]
log.breached,"The contract condition was broken. {reason} names the condition.",[CONTRACT BREACHED: {reason}]
log.garrotted,"A garrote kill landed. {name} is the person killed.",[{name} is garrotted silently]
log.struck_down,"A melee blow killed someone. {name} is the person killed.",[{name} is struck down]
log.struck,"A melee blow hurt someone without killing them. {name} is the victim.",[{name} is struck]
log.target_bolts,"The target fled the venue. {name} is the target.",[{name} bolts out into the night]
log.heat.word_spreads,Logged when mission heat reaches tier one and security tightens.,[word spreads among security: something is wrong]
log.heat.backup_arrives,Logged when mission heat reaches tier two and guards are sent in.,[backup security pushes in through the entrance]
actor.backup_guard,"Name given to a guard spawned by heat. {n} counts from one.",[backup guard {n}]

# --- in-turn action failures ----------------------------------------------
fail.garrote_missed,The garrote attempt did not land.,[the garrote finds no purchase]
fail.no_weapon,A shot was attempted with no weapon.,[no weapon to fire]
fail.cannot_fire,A shot was attempted with an unusable weapon.,[the pistol cannot fire]
fail.no_line,A shot was attempted with no clear line.,[the shot has no clear line]
fail.blow_missed,A melee attack missed.,[the blow misses]
fail.arrest_failed,An arrest attempt did not land.,[the arrest fails]
fail.mark_slipped,The pickpocket target moved away first.,[the mark slipped away]
fail.pockets_full,A pickpocket succeeded but there was no room to carry it.,[your pockets are full]
fail.nothing_to_steal,The pickpocket target carried nothing takeable.,[nothing worth taking]
fail.hands_busy,An action needed free hands.,[your hands are not free]
fail.clothes_far,The body being undressed is out of reach.,[the clothes are out of reach]
fail.wardrobe_gone,The wardrobe is no longer there.,[the wardrobe is gone]
fail.wardrobe_far,The wardrobe is out of reach.,[the wardrobe is out of reach]
fail.wardrobe_empty,The wardrobe holds no clothes.,[the wardrobe is empty]
fail.cannot_lift,The body could not be picked up.,[you cannot lift the body]
fail.nothing_to_drop,A drop was attempted while carrying nothing.,[nothing to drop]
fail.no_room_to_drop,There is no free tile to put the body on.,[no room to drop the body]
fail.nothing_to_hide,A hide was attempted while carrying nothing.,[nothing to hide]
fail.container_gone,The container is no longer there.,[the container is gone]
fail.container_refused,The container cannot take the body.,[the container will not take it]
fail.nothing_to_use,There is no machine to use.,[nothing to use there]
fail.machine_spent,The machine has already been used.,[it has already been used]
fail.door_locked,The door is locked.,[the door is locked]
fail.doorway_blocked,Something is standing in the doorway.,[the doorway is blocked]
fail.door_not_locked,The door has no lock to pick.,[that door is not locked]
fail.no_charges,No noisemaker charges remain.,[no noisemaker charges left]
fail.pockets_full_item,An item could not be lifted because the inventory is full.,[your pockets are full]
fail.blocked_person,Movement was blocked by another person.,[the way is blocked by another person]
fail.blocked_furniture,Movement was blocked by furniture or a wall.,[the way is blocked by furniture or a wall]
fail.someone_first,Two actors moved for the same tile and the other won.,[someone got there first]

# --- perception alarms -----------------------------------------------------
perception.alarm.weapon,What an observer reacts to when they see a drawn weapon.,[a drawn weapon]
perception.alarm.body_carry,What an observer reacts to when they see a body being moved.,[someone hauling a body]
perception.body_found,Breach reason and log line when a corpse the player made is discovered.,[a body of your making was discovered]
perception.alarm_raised,"A guard escalated to alerted. {name} is the guard.",[{name} raises the alarm!]
perception.screams,"A civilian panicked. {name} is the civilian.",[{name} screams and runs]
perception.spots,"Someone saw something alarming. {name} the observer, {cause} what they saw.",[{name} spots {cause}!]
perception.backs_away,"Someone retreated in fear. {name} is the observer.",[{name} backs away in fear]
perception.heard,"Someone noticed a noise. {name} is the observer.",[{name} heard something]
perception.flinches,"Someone reacted to a noise without investigating. {name} is the observer.",[{name} flinches at the noise]
perception.investigates,"Someone went to check a noise. {name} is the observer.",[{name} goes to check a noise]
perception.sees_through,"An observer recognised the disguise. {name} is the observer.",[{name} sees through you!]
perception.wants_no_part,"An observer chose to flee rather than engage. {name} is the observer.",[{name} wants no part of this]
perception.comes_to_look,"An observer became suspicious enough to approach. {name} is the observer.",[{name} comes to take a look]
perception.watching,"An observer is suspicious but has not moved. {name} is the observer.",[{name} is watching you]
perception.joins_hunt,"An alerted guard spread the alarm to another. {name} is the recruit.",[{name} joins the hunt]

# --- contract conditions ---------------------------------------------------
contract.no_firearms.long,Full statement of the no-gunfire condition on the briefing.,"[no gunfire - the silenced pistol stays holstered (the garrote and ""accidents"" are still fair game)]"
contract.no_firearms.short,Abbreviated no-gunfire condition for the board and sidebar.,[no gunfire]
contract.no_firearms.breach,Breach reason when a firearm is fired.,[the pistol was fired]
contract.no_collateral.long,Full statement of the no-collateral condition.,[no collateral - only the target and their guards may die by your hand]
contract.no_collateral.short,Abbreviated no-collateral condition.,[no collateral]
contract.no_collateral.breach,Breach reason when a bystander dies.,[a bystander died by your hand]
contract.no_bodies.long,Full statement of the no-bodies-found condition.,[leave no trace - no body of your making may be discovered before you extract (stash them in containers)]
contract.no_bodies.short,Abbreviated no-bodies-found condition.,[no bodies found]
contract.private_kill.long,"Full statement of the private-kill condition. {rooms} names the qualifying rooms.","[kill in private - the target must die inside {rooms}, not out among the guests or in a corridor]"
contract.private_kill.short_named,"Abbreviated private-kill condition naming one room. {room} is its name.",[kill in the {room}]
contract.private_kill.short_office,Abbreviated private-kill condition when several rooms qualify.,[kill in an office]
contract.private_kill.short_private,Abbreviated private-kill condition when no room can be named.,[kill in private]
contract.private_kill.fallback_room,Stands in for a room name when the qualifying rooms cannot be named.,[a private office]
contract.private_kill.breach,"Breach reason for a public kill. {where} where it happened, {needed} where it should have.",[the target died in {where} - the kill had to happen in {needed}]
contract.private_kill.open_floor,Names the place of death when it was not inside any room.,[the open floor]
contract.exit_via.long,"Full statement of the named-exit condition. {room} is the exit room.",[leave the way the client dictates: extract via the {room}]
contract.exit_via.short,"Abbreviated named-exit condition. {room} is the exit room.",[exit via {room}]
